ID,SMILES,mutagenicity
291,O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1
292,Cc1ccc(NC(N)=O)cc1,0
293,Nc1ccc(N=Nc2ccc(N)cc2)cc1,1
294,Nc1cccc2c(Cl)nsc12,1
295,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,0
296,c1ccc2c(c1)-c1cc3ccccc3c3cc4ccccc4c-2c13,1
297,COc1ccccc1N,1
298,CC1=CC(=O)c2c(O)cccc2C1=O,1
299,C[C@H]1CCC[C@@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0
300,CC(=O)/C=C/c1ccco1,0
301,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1
302,O=[N+]([O-])c1ccc2c(c1)Cc1cccc([N+](=O)[O-])c1-2,1
303,N#CC(=CC=Cc1ccccc1[N+](=O)[O-])c1ccc(Br)cc1,1
304,NC1CCCCC1,0
305,CCOc1ccc(N)cc1,1
306,NCCNCCN,0
307,O=C1C=CC(=O)c2c(O)cccc21,1
308,ClCc1ccccn1,1
309,O=[N+]([O-])c1c2ccccc2c2ccc3cccc4ccc1c2c43,1
310,Cc1c2ccccc2c(CCl)c2ccccc12,1
311,O=Cc1ccccc1,0
312,N[C@@H](Cc1ccc(O)cc1)C(=O)O,0
313,[2H]C([2H])(O)[C@@]1([2H])O[C@@H](n2cnc3c(N)ncnc32)[C@]([2H])(O)[C@]1([2H])O,0
314,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,0
315,CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1,0
316,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,1
317,CCCN(N=O)C(N)=O,1
318,Cc1cnc2c(C)c(C)c3c(nc(N)n3C)c2n1,1
319,COC(=O)[C@H]1CS[C@H]2C(Cl)=C(Cl)C(=O)N12,1
320,CCCCCCCC(=O)Nc1snc2ccccc12,0
321,O=P1(Oc2ccccc2)OCc2ccccc2O1,1
322,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1,0
323,OC[P+](CO)(CO)CO,0
324,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,0
325,Cn1cc2ccc([N+](=O)[O-])cc2n1,1
326,CC(=O)Nc1ccc2cccnc2c1,1
327,CC(=O)ON(OCc1ccc([N+](=O)[O-])cc1)C(=O)c1ccccc1,1
328,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],0
329,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,0
330,CCBr,1
331,Fc1cnc2ccc3cccnc3c2c1,1
332,CC(=O)O[C@H]1[C@@]2(O)CC(C)(C)CC2=C(C=O)[C@@]2(C=O)C[C@@]12C,1
333,O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1,1
334,Cc1cnc[nH]1,0
335,CC(=O)NC1C=NC(c2ccc([N+](=O)[O-])o2)=NO1,1
336,Nc1ncnc2c1ncn2C(c1ccccc1)(c1ccccc1)c1ccccc1,1
337,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0
338,C(=N/NC1=NCCN1)c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,1
339,O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1
340,Nc1ccc(-c2ccc(N)c(F)c2)cc1F,1
341,c1ccc2ccccc2c1,0
342,CCCCCCCOc1ccccc1NC(=O)OCC[NH+]1CCCCC1,0
343,Nc1cc(Cl)ccc1Cl,0
344,Cc1ccc(N/N=C2/C(=O)C(C(=O)[O-])=Cc3ccccc32)c(S(=O)(=O)[O-])c1,0
345,O=c1ccn([13C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,0
346,CN(C)[N+](=O)[O-],1
347,Cc1cc(-c2ccc(N/N=C3C=Cc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c4C3=O)c(C)c2)ccc1N/N=C1C=Cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c(N)c2C1=O,1
348,COc1cc(O)ccc1Nc1c2ccccc2nc2ccccc12,1
349,CC(C)COC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1
350,CN(C)CCO,0
351,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,0
352,O=C(C=Cc1ccccc1)c1ccc(Br)cc1,0
353,c1ccc([C@]2N[C@@]2c2ccccc2)cc1,1
354,c1ccc(N2CCNCC2)cc1,0
355,CC(=O)[CH-]C(=O)c1ccccc1,0
356,O=CC=Cc1ccc([N+](=O)[O-])o1,1
357,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0
358,COc1cc2c(c3oc(=O)c4c(c13)C(O)CC4O)[C@@H]1C=CO[C@@H]1O2,1
359,CCCCOc1ccc(/C=N/c2ccc(CC)cc2)cc1,0
360,O=S(=O)(O)c1c(/N=N/c2c(O)ccc3ccccc23)ccc2ccccc12,0
361,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,0
362,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
363,CC(C)CC(=O)Nc1snc2ccccc12,0
364,CC1CC2(OC2C)C(=O)OC2CCN(C)C/C=C(/COC(=O)C1(C)O)C2=O,1
365,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,0
366,NNC(N)=O,0
367,C=CC(=O)OCCCC,0
368,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
369,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3[C@H](O)C12,0
370,O=[N+]([O-])c1cc([N+](=O)[O-])c2c3ccccc3c3cccc4ccc1c2c43,1
371,O=[N+]([O-])c1cc(Cl)cc(Sc2cc(Cl)cc([N+](=O)[O-])c2O)c1O,0
372,Cn1c(N)nc2ccccc21,1
373,NC(=O)CN1CC(O)CC1=O,0
374,CN1CCN(C)CC1,0
375,c1ccc2c(OCC3CO3)nsc2c1,1
376,CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1
377,CCCCCCCCCCCCCO,0
378,OC[C@H]1O[C@@H](n2cnc3c(NC[C@H](O)COc4cccc5ccccc45)ncnc32)[C@H](O)[C@@H]1O,0
